Model,Corruption,Severity,Accuracy,Avg_Confidence
vit_b_16,clean,1,95.85253456221199,0.9350921830231075
vit_b_16,blur,1,94.98847926267281,0.9254882952953745
vit_b_16,blur,2,94.52764976958525,0.9179379163730529
vit_b_16,blur,3,93.37557603686636,0.9063955436370545
vit_b_16,blur,4,92.45391705069125,0.8949775741980647
vit_b_16,blur,5,91.41705069124424,0.8781792815036488
vit_b_16,noise,1,94.00921658986175,0.9155806704995132
vit_b_16,noise,2,93.54838709677419,0.9029448178601086
vit_b_16,noise,3,91.53225806451613,0.8894830053513397
vit_b_16,noise,4,89.8041474654378,0.851293876981749
vit_b_16,noise,5,84.10138248847926,0.7849773909330093
vit_b_16,rotation,1,95.04608294930875,0.9218707220169634
vit_b_16,rotation,2,93.02995391705069,0.8888191220818371
vit_b_16,rotation,3,88.59447004608295,0.8370596128451522
vit_b_16,rotation,4,84.10138248847926,0.7896352750721306
vit_b_16,rotation,5,78.11059907834101,0.7306435049687456
